What do you honestly think? Should vaccines be mandated?,2
I wish reporters would report this how it actually works. The headlines should be Trump announces tarrifs on American companies importing goods from Mexico and Canada.,4
"In a country so obsessed with real estate, & with such exorbitant housing costs, why do we have such a poor standard of design & construction?? Could post 1000’s of such miserable images…",1
We should cut off all trade with Canada until Justin Trudeau and his communist regime steps down.,5
"just call a federal election, i’m dead ready to go to the polls and vote to make sure pierre pollievre does not become prime minister",1
"Except that Trudeau is not a racist. His policies are not racist. He's run a government for 4 years that is not racist. MLK III  and Obama endorsed Trudeau. They know who is racist, and who is USING racism to fk with our #elxn43 The racists are. White Nationalists. Fascists.",1
"Bernie Sanders willfully does the bidding of the military-industrial complex, Wall Street, and now Big Pharma. He’s not upset that Big Pharma can’t be sued for damaging a child.",1
"""KimJongUn"" & ""Trump"" attends the #inauguration in #WashingtonDC to celebrate the era of the new #fascist regime in the #USA",1
I admire his politics being right wing myself. There is nothing creepy about it. I admire Elon musk and Nigel farage and anyone who speaks plainly and cuts through the bullshit we get from most politicians. They give us hope that things can change.,5
"Pierre Pollievre is an asshole.  He is a conservative who doesn’t give a shit about the rest of Canada, he never has and never will.",1
FACT CHECK:   Pierre Pollievre can't clean toilets at Mar-A-Largo because he would a be an illegal immigrant who can't get security clearance!,4
Tyler Watt     vote  PM Justin Trudeau!   as a gay millennial im totally afraid of Andrew Scheer!   #canada#canadavotes #uptoyouth #lgbtqrights #liberalparty #justintrudeau #gaycanadian #gaycanada #lgbtq  #elxn43 #cdnpoli,1
If youre wondering how this endorsement came about heres your answer.  called his pal Axe who called his pal  who jumped in to help out the guy who won first prize at the last G-7 Obama look alike competition. #TrudeauBlackface #elxn43,2
Fuck what politics are on about. I ain't worried! now that Elon Musk has his hand in with his chips.,5
"Why does the story keep changing? Why none of fellow Trudeau teachers came out to debunk this ""kinsnella production""? Why did Trudeau need lawyers to leave the school? #elxn43 #cdnpoli",3
"[American flag emoji] Trump gifted the pen he used to sign the illegal immigrants' deportation law to Allyson Phillips, whose son was killed by refugees.",5
"Imagine having lived through the last 10 years--the desecration of Washington, Jefferson, Lee, Roosevelt, and even Lincoln--and then drawing the line at...Mark Milley.",3
Amazing corruption calling in all these foreign endorsements.  Right up your alley.  #TrudeauCorruption #TrudeauMustGo #elxn43 #cdnpoli,4
"What an irresponsible and malevolent man occupies the most powerful position in the world. This is a tragedy for humanity, and yet the world seems oblivious to it. How could Americans choose such an evil individual as their president? #planecrash #Trump",1
"#WarrenKinsella #elxn43 ""I want Trudeau defeated.""",4
#Poilievre #PoilievreIsLyingToYou,1
"Pierre Poilievre stuns anchor when asked if his government would consider more than two genders. Poilievre: ""Do you have any other genders that you'd like to name?""",5
"The reason you don't run a country like a business is because that is Fascism.

A country is supposed to be run to provide for the people, not to provide profits for the richest.",1
"It’s 2025, and we’re still debating whether LGBTQ+ people deserve rights? Ridiculous.",1
"Fun Fact: Before there was Doug Ford, corrupt politician, there was Doug Ford, pro golfer!",1
"Woke pastor Mariann Budde claims she's troubled by American politics distorting Christianity, while recently distorting and politicizing a sermon to shame Trump and Vance for not embracing the LGBTQ+ agenda.",5
Why do straight people feel ‘attacked’ when gay people just want to exist freely?,1
"Is this country even ours anymore? Weren't they supposed to be for our poor, not the world's poor? No wonder so many come here.",5
"Hannity, remember who's the boss, bro [sunglasses face emoji] Trump is 100% right. This was more important to hear.  @elonmusk, can we please for the love of God get a free speech broadcast channel on X? #zelena #Trump #WeThePeople $Trump  #FreeSpeech #XNews",5
"Liberal regression, illiberal rise. No freedom of belief/expression, tolerance permitted,   Canadians punished if try, as thousands of vulnerable women/girls who lost services as food/shelter, due to unconstitutional religious attestation.  Despicable by Justin Trudeau #elxn43",1
Wow! The Liberals are now ahead of the Cons federally in Ontario. [mind blown emoji] There’s a reason for Poilievre’s panic.,1
"And we talk about #Blackface with an unserious leader. God, I hope this is altered/staged but I fear not.  If somehow JT's cause was to stop this, and he could, I'd vote for him in a minute. But he's complicit. McCallum/Barton comfortable for Evil CCP .  #Elxn43 #TrudeauMustGo",1
Senator Cassidy is asking straightforward questions about Medicare-Medicaid dual eligibility. Wants to know what #RFK will do to improve coverage. RFKJr says we should experiment. #HHSconfirmation #RFKJrIsUnqualified,3
"Thousands in Germany have taken the streets protest the rise of the Elon Musk and Kremlin supported neo-Nazi party AfD, ahead of the general election.",2
Challenge to Trudeau voters: Give one positive reason why you are voting (or voted in advance polls) for Trudeau (meaning not a reason to vote against another candidate but a reason to vote FOR Trudeau).  #elxn43 #cdnpoli,5
Finally time for the Canadian juniors to shine? Pierre Pollievre could be the real game changer for the mining space.,5
Vaccines do not cause autism. This should not be a controversial statement,1
"The left says tariffs hurt the economy, but all they do is force companies to bring jobs back home!",5
How  rewarded 2015's Strategic Voters who believed his  would keep their promise to repeal #FPTP. #NotTrustinJustin #elxn43 #simcoenorth #bsom #elxn43 #cdnpoli #SinghUpSwing #UpRiSingh,2
"I think so much of what's been happening over the last decade is simply that the art of diplomacy, oration, and generally competent leadership has been lost.  

The purpose of politics is to find solutions when the population can't agree - but both sides have stoked hysteria rather than provide mature competent leadership.  ",3
Does strategic voting make sense?  Make 2015 the last election under FPTP.  Make every vote count.  So much for #Trudeau promises.  #ProportionalRepresentation is the answer. Support Parties who support PR. #cdnpoli #elxn43,3
"Funny. 
They always forget, that pro choice is letting others choose what is best for them. Including getting pregnant and having a baby.",3
Tell #Canadians the Truth about #Liberals &amp; Organized crime #Trudeau! #Transnational My son was murdered Halloween 2016! #BigCircleBoys #fentanyl #shipping Tell them how Richard Chiu the #drug #kinkpin who Joes law firm did business with! Why is Joe still a #liberal? #elxn43,1
"my response 2 little ' tweet  re Sheila Copps where she uses Copps as a beacon of truth about the brilliant, formidable &amp; GORGEOUS Honorable     is not fit 2 carry water for JWR in #elxn43, #cdnpoli or ANY time or place  Trudeau-fantasists!",4
“You can have Free Speech…but if you’re causing people to not take ‘vaccines’…that’s different…” ARREST Bill Gates for posing as a Doctor and for spreading medical propaganda.,5
"Georgia protestors continue to resist the corrupt pro-Kremlin government that stole their election, it's now day 64 and protests are stronger than ever.",3
"Trump was right about everything. The deep state, the media, and the establishment all worked against him because they fear the truth!",5
"Islam leads to hell.

Atheism leads to hell.

Buddhism leads to hell.

Christianity leads to heaven.",5
The real estate market was thriving before Biden. Now mortgage rates are at historic highs!,4
